ARPT_ID,ARPT_NAME,LAT_DECIMAL,LONG_DECIMAL
0J0,ABBEVILLE MUNI,31.60172027,-85.23854472
2A8,ADDISON MUNI,34.21714166,-87.15815833
AL03,STRICKLAND/SMALLEY FLD,32.8475,-87.71388888
EET,SHELBY COUNTY,33.17777777,-86.78322222
AL39,SHELBY MEDICAL CENTER,33.25222222,-86.81222222
BFZ,ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD,34.22911111,-86.25575
ALX,THOMAS C RUSSELL FLD,32.91475,-85.96294444
33AL,RUSSELL MEDICAL,32.93007777,-85.97090833
AIV,GEORGE DOWNER,33.10674444,-88.197175
79J,SOUTH ALABAMA RGNL AT BILL BENTON FLD,31.30836111,-86.39222222
ANB,ANNISTON RGNL,33.58816666,-85.85811111
AL42,REGIONAL MEDICAL CENTER ANNISTON,33.65600555,-85.82444444
04AL,ANNISTON ARMY DEPOT HELIPAD,33.62638888,-85.96722222
51AL,ARDMORE,34.9790748,-86.88328483
90KY,MOTHER NATURE SPRING WATER,37.25874722,-82.46147777
26A,ASHLAND/LINEVILLE,33.28419722,-85.80896527
0AL2,CLAY COUNTY HOSPITAL,33.27721666,-85.82481944
AL60,DUGGER'S FLD,33.83870972,-86.21136527
5AL9,ATHENS-LIMESTONE HOSPITAL HELIPAD,34.80281666,-86.98060555
56AL,BEECHWOOD AIRPARK,34.77277777,-87.17458333
0R1,ATMORE MUNI,31.01613888,-87.44675
AUO,AUBURN UNIVERSITY RGNL,32.61511111,-85.434
1R8,BAY MINETTE MUNI,30.87033333,-87.81933333
6AL9,MEGA SITE HELIPAD,30.94861111,-87.74555555
96AL,BENT OAK,30.82768452,-87.88917741
5R7,ROY E RAY,30.45525,-88.21119444
AL67,W&T OFFSHORE OTF,30.43111111,-88.17916666
EKY,BESSEMER NTL,33.31261111,-86.92630555
AL19,MEDICAL WEST,33.37155833,-86.99100555
AL80,UAB MEDICAL WEST,33.33083583,-86.98384594
BHM,BIRMINGHAM-SHUTTLESWORTH INTL,33.56388888,-86.75230555
AL50,BAPTIST MEDICAL CENTER-PRINCETON,33.49760583,-86.84637944
AL49,CARRAWAY MEDICAL CENTER,33.53578333,-86.81140555
AL91,THE CHILDRENS HOSPITAL,33.50427194,-86.8052675
AL38,UNIVERSITY OF ALABAMA HOSPITAL,33.50586111,-86.80277777
0AL8,BROOKWOOD MEDICAL CENTER,33.46407222,-86.77286944
AL45,GRANDVIEW MEDICAL CENTER,33.432875,-86.71609444
AL66,ALABAMA POWER HEADQUARTERS,33.51954972,-86.81360111
AL65,ST VINCENTS EAST,33.59697222,-86.66780833
AL40,BONHAM,33.54316194,-86.98582777
AL29,NEW HORIZON,34.12926388,-86.63332666
1AL0,MARSHALL MEDICAL CENTER SOUTH,34.22042222,-86.16091944
8AL3,FRICKS FLD,34.14176666,-86.08856666
3AL6,TOWN & COUNTRY AIRPARK,33.65677777,-86.41247222
AL30,ROCKY SPRINGS AIRPARK,33.99083333,-87.07777777
12J,BREWTON MUNI,31.05071138,-87.06726666
0AL6,D W MCMILLIAN MEML HOSPITAL,31.12566944,-87.07346944
42AL,CHOCTAW GENERAL HOSPITAL,32.09333611,-88.21036111
09A,BUTLER/CHOCTAW COUNTY,32.11930555,-88.12747222
61A,CAMDEN MUNI,31.97975,-87.33911111
AL01,PICKENS COUNTY MEDICAL CENTER,33.27420833,-88.08933333
AL32,FLYING BK RANCH,34.32258888,-85.64371388
81AL,BIBB MEDICAL CENTER,32.95179722,-87.14818611
AL27,HEADQUARTERS,34.10565277,-85.56579388
PYP,CENTRE PIEDMONT/CHEROKEE COUNTY RGNL,34.08991666,-85.61008333
0A8,BIBB COUNTY,32.93693888,-87.09054722
5AL1,MC GOWIN FLD,31.68071277,-86.68191694
5R1,ROY WILCOX,31.45166688,-88.19442663
6AL6,HAWTHORN PINES,31.38858333,-88.09258333
39AL,WASHINGTON COUNTY HOSPITAL ER,31.45905555,-88.23447222
AL68,ROCKET SHOALS,34.74417644,-87.886576
35AL,SILCOX MEML,31.08959722,-88.24507222
02A,CHILTON COUNTY,32.85048447,-86.61143247
01AL,WARE ISLAND,32.94595611,-86.51386833
8AL0,MITCHELL DAM,32.8005,-86.4465
